time	intensity	group
10	171.11	Exp1
14	180.31	Exp1
17	178.32	Exp1
42	173.22	Exp3
30	145.22	Exp2
30	155.68	Exp3
23	200.56	Exp2
15	192.33	Exp1
24	173.22	Exp2
20	203.78	Exp2
18	187.88	Exp1
45	180.00	Exp3
27	181.33	Exp2
16	198.03	Exp1
47	179.11	Exp3
27	175.33	Exp2
28	162.55	Exp2
24	208.97	Exp1
23	200.47	Exp1
43	165.08	Exp3
27	168.77	Exp2
23	193.55	Exp2	
19	188.04	Exp1
40	170.36	Exp3
21	184.98	Exp2
15	197.33	Exp1
50	188.45	Exp3
23	207.33	Exp1
28	158.60	Exp2
29	151.31	Exp2
26	172.01	Exp2
23	191.33	Exp1
25	226.11	Exp1
60	198.33	Exp3