time	intensity	group	bandwidth
10	171.11	Exp1	20
14	180.31	Exp1	30
17	178.32	Exp1	10
42	173.22	Exp3	40
30	145.22	Exp2	35
30	155.68	Exp3	80
23	200.56	Exp2	10
15	192.33	Exp1	30	
24	173.22	Exp2	10
20	203.78	Exp2	20
18	187.88	Exp1	60
45	180.00	Exp3	10
27	181.33	Exp2	40
16	198.03	Exp1	30
47	179.11	Exp3	20
27	175.33	Exp2	30
28	162.55	Exp2	10
24	208.97	Exp1	10
23	200.47	Exp1	10
43	165.08	Exp3	10
27	168.77	Exp2	20
23	193.55	Exp2	50	
19	188.04	Exp1	10
40	170.36	Exp3	40
21	184.98	Exp2	20
15	197.33	Exp1	30
50	188.45	Exp3	10
23	207.33	Exp1	10
28	158.60	Exp2	10
29	151.31	Exp2	30
26	172.01	Exp2	20
23	191.33	Exp1	10
25	226.11	Exp1	10
60	198.33	Exp3	10